Internal Medicine
CRN,Subject,Course,Section,Type,Credits,Title,Days,Time,Capacity,WL Capacity,WL Actual,WL Remaining,Instructor,Date (MM//DD),Location,Status
588,IMED,401,001,Field Course (GDEU),8.000,"Internal Medicine Clerkship.",TBA,TBA,235,0,0,0,TBA,07/01-12/31,TBA,Active
1082,IMED,401,002,Field Course (GDEU),8.000,"Internal Medicine Clerkship.",TBA,TBA,50,0,0,0,TBA,07/01-12/31,TBA,Active
758,IMED,407,001,Field Course (GDEU),4.000,"Geriatric Medicine Clerkship.",TBA,TBA,245,0,0,0,TBA,06/19-12/31,TBA,Active
1134,IMED,407,002,Field Course (GDEU),4.000,"Geriatric Medicine Clerkship.",,TBA,50,0,0,0,TBA,06/19-12/31,TBA,Active
,,,,,,,M,08:30 am-09:15 am,,,,,TBA,10/30-10/30,000890 A2040A,Active
,,,,,,,M,09:16 am-10:15 am,,,,,TBA,10/30-10/30,000890 A2040A,Active
,,,,,,,M,10:16 am-11:15 am,,,,,TBA,10/30-10/30,000890 A2040A,Active
,,,,,,,M,11:16 am-12:15 pm,,,,,TBA,10/30-10/30,000890 A2040A,Active
Indigenous Studies
CRN,Subject,Course,Section,Type,Credits,Title,Days,Time,Capacity,WL Capacity,WL Actual,WL Remaining,Instructor,Date (MM//DD),Location,Status
3271,INDG,200,002,Lecture,3.000,"Introduction to Indigenous Studies.",TR,04:05 pm-05:25 pm,140,15,0,15,"Jimena  Marquez",08/30-11/29,MDHAR G-10,Active
,,,,,,,TR,04:05 pm-05:25 pm,,,,,"Jimena  Marquez",12/01-12/05,MDHAR G-10,Active
3272,INDG,420,001,Seminar,3.000,"Indigenous Food Sovereignty.",F,02:35 pm-05:25 pm,25,0,0,0,"Jimena  Marquez",08/30-12/01,FERR 105,Active
Industrial Relations
CRN,Subject,Course,Section,Type,Credits,Title,Days,Time,Capacity,WL Capacity,WL Actual,WL Remaining,Instructor,Date (MM//DD),Location,Status
3273,INDR,294,001,Lecture,3.000,"Introduction to Labour-Management Relations.",MW,01:05 pm-02:25 pm,50,0,0,0,"Chantal  Westgate",08/30-12/04,BRONF 310,Active
,,,,,,,R,01:05 pm-02:25 pm,,,,,"Chantal  Westgate",11/30-11/30,BRONF 310,Active
3274,INDR,494,071,Lecture,3.000,"Labour Law.",W,06:05 pm-08:55 pm,60,0,0,0,"Stephen  De Four-Wyre",08/30-12/01,BRONF 210,Active
3275,INDR,499,001,Internship,3.000,"Internship in Industrial Relations.",TBA,TBA,10,0,0,0,TBA,08/30-12/05,TBA,Active
Interdisciplinary Studies
CRN,Subject,Course,Section,Type,Credits,Title,Days,Time,Capacity,WL Capacity,WL Actual,WL Remaining,Instructor,Date (MM//DD),Location,Status
570,INDS,111,001,Lecture,6.000,"Molecules to Global Health.",,TBA,260,0,0,0,TBA,08/14-12/31,TBA,Active
,,,,,,,M,08:35 am-09:25 am,,,,,TBA,08/28-08/28,MCMED 504,Active
,,,,,,,M,09:35 am-10:25 am,,,,,TBA,08/28-08/28,MCMED 504,Active
,,,,,,,M,10:35 am-11:25 am,,,,,TBA,08/28-08/28,MCMED 504,Active
,,,,,,,T,08:35 am-09:25 am,,,,,TBA,08/29-08/29,MCMED 504,Active
,,,,,,,T,09:35 am-10:25 am,,,,,TBA,08/29-08/29,MCMED 504,Active
,,,,,,,T,10:35 am-11:25 am,,,,,TBA,08/29-08/29,MCMED 504,Active
,,,,,,,W,08:35 am-09:25 am,,,,,TBA,08/30-08/30,MCMED 504,Active
,,,,,,,W,09:35 am-10:25 am,,,,,TBA,08/30-08/30,MCMED 504,Active
,,,,,,,W,10:35 am-11:25 am,,,,,TBA,08/30-08/30,MCMED 504,Active
,,,,,,,W,12:35 pm-04:55 pm,,,,,TBA,08/30-08/30,MCMED 504,Active
,,,,,,,R,08:35 am-09:25 am,,,,,TBA,08/31-08/31,MCMED 504,Active
,,,,,,,R,09:35 am-10:25 am,,,,,TBA,08/31-08/31,MCMED 504,Active
,,,,,,,R,10:35 am-11:25 am,,,,,TBA,08/31-08/31,MCMED 504,Active
,,,,,,,F,08:35 am-09:25 am,,,,,TBA,09/01-09/01,MCMED 504,Active
,,,,,,,F,09:35 am-10:25 am,,,,,TBA,09/01-09/01,MCMED 504,Active
,,,,,,,F,10:35 am-11:25 am,,,,,TBA,09/01-09/01,MCMED 504,Active
,,,,,,,T,08:35 am-09:25 am,,,,,TBA,09/05-09/05,MCMED 504,Active
,,,,,,,T,09:35 am-10:25 am,,,,,TBA,09/05-09/05,MCMED 504,Active
,,,,,,,T,10:35 am-11:25 am,,,,,TBA,09/05-09/05,MCMED 504,Active
,,,,,,,T,11:35 am-12:25 pm,,,,,TBA,09/05-09/05,MCMED 504,Active
,,,,,,,W,08:35 am-09:25 am,,,,,TBA,09/06-09/06,MCMED 504,Active
,,,,,,,W,09:35 am-10:25 am,,,,,TBA,09/06-09/06,MCMED 504,Active
,,,,,,,W,10:35 am-11:25 am,,,,,TBA,09/06-09/06,MCMED 504,Active
,,,,,,,R,10:35 am-11:25 am,,,,,TBA,09/07-09/07,MCMED 504,Active
,,,,,,,F,08:35 am-09:25 am,,,,,TBA,09/08-09/08,MCMED 504,Active
,,,,,,,F,09:35 am-10:25 am,,,,,TBA,09/08-09/08,MCMED 504,Active
,,,,,,,M,08:35 am-09:25 am,,,,,TBA,09/11-09/11,MCMED 504,Active
